comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
Utilities/vtkoggtheora/libtheora-1.1.1/lib/x86_vc,0,40,0,1,3229,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkpng,0,13661,0.160310373,1,34421,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,11,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtksqlite,0,44847,0.229981939,2,116564,0,2,0,2,0.5,0.994232725,0.5,1.72E-05,2,0,2,1,0,1,1,8.175,8.175,0.025,0.025,2,2,0,0,7,0,7,0.666666667,0,1,0.888888889,0.333333333,0.339869281,VTK,105,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtktiff,0,18693,0.211630022,2,33419,0,2,0,2,0.5,1,0.5,0.000571163,2,0,2,1,0,0,1,3568.4,3568.4,0.05,0.05,0,0,0,0,3,0,3,1,1,1,1,1,1,VTK,23,0,0,0,0,0,0,0,0,0,0,0,0
Utilities/vtkzlib,0,4178,0.235519387,1,10278,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VTK,7,0,0,0,0,0,0,0,0,0,0,0,0
Views,0,1737,0.479562464,5,4216,1,4,0,4,0.4,0.997142963,0.4,0.00142315,5,0,5,0.5,0,0,2,50200.41667,50200.41667,0.375,0.375,0,0,0,0,7,0,7,0.5,1,0.5,0.5,0.5,0.5,VTK,0,25,2,2,0,0,0,0,0,3,1,0,0
VolumeRendering,0,3420,0.561111111,30,11146,7,12,6,6,0.366666667,0.92325992,0.421052632,0.036156042,7,0,7,0.888888889,1,1,5,275.5,2573.330822,0.05,0.247581485,2,3,0.066666667,0.053333333,13,0,13,0.8,0,0.8,0.75,0.8,0.649103641,VTK,8,58,5,6,0,0,0,2,5,12,9,5,0
Widgets,0,7682,0.482166103,43,23664,3,15,10,5,0.372093023,0.975490162,0.395348837,0.012508452,10,0,10,0.727272727,1,1,6,4629.132353,66267.24922,0.031746032,0.1877347,8,8,0,0.016100179,18,0,18,0.571428571,0,0.571428571,0.494897959,0.452380952,0.3772509,VTK,4,127,19,5,0,0,0,2,16,30,10,0,0
Wrapping,6,25719,0.176756484,53,16300,7,8,6,2,0.79245283,0.955270617,0.384615385,0.537983726,9,0,9,0.944444444,3,4,9,474.4821429,858.7983493,0.015873016,0.041300789,1,1,0.018867925,0.246226415,17,8,9,0.972222222,1,0.972222222,0.977623457,0.972222222,0.903092682,VTK,17,0,0,0,0,0,0,0,0,0,0,0,0
Wrapping/Python,2,735,0.077551021,18,1797,1,5,0,5,0.666666667,1,0.444444444,0.023536896,4,0,4,1,0,0,3,274.1864253,1392.158117,0.067873303,0.063584087,1,1,0.666666667,0.533333333,15,0,15,0.846153846,0,0.846153846,0.911078238,0.846153846,0.774849083,VTK,6,0,0,2,0,0,0,0,0,0,0,0,0
Wrapping/Tcl,0,33,0.212121215,1,28,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,1,1,1,0.972222222,0.972222222,VTK,0,0,0,0,0,0,0,0,0,0,0,0,0
