comp,post_bugs,size,complexity,prior_changes,change_churn,prior_bugs,total,minor,major,ownership,entropy,review_rate,review_churn_rate,voters,minor_voters,major_voters,voter_ownership,self_reviews,too_quick,little_discussion,median_revspeed,mean_revspeed,median_discussion,mean_discussion,minor_wrote_no_major_revd,minor_wrote_no_owner_revd,median_voterscore,mean_voterscore,actors,minor_actors,major_actors,actor_ownership,owner_more_author,median_maxexp,mean_maxexp,median_minexp,mean_minexp,subsystem,DataClass,TraditionBreaker,SchizophrenicClass,GodClass,GodModule,SchizophrenicModule,DataModule,FeatureEnvy,DataClumps,SiblingDuplication,InternalDuplication,ExternalDuplication,MessageChains
qtquick1.examples/declarative/toys/dynamicscene,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/toys/tic-tac-toe,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/toys/tvtennis,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter1-basics,0,53,0.132075473,4,257,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter2-methods,0,62,0.129032259,4,276,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter3-bindings,0,65,0.13846154,4,278,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter4-customPropertyTypes,0,79,0.12658228,4,430,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter5-listproperties,0,106,0.141509435,4,449,0,2,0,2,0.75,1,1,1,6,0,6,1,0,4,2,0.325394863,0.314566303,0.000280198,0.000316375,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/extending/chapter6-plugins,0,108,0.13888889,5,510,0,3,0,3,0.6,1,1,1,7,0,7,1,0,4,2,0.350140056,5.751653042,0.000521648,0.002038815,0,0,0,0.12,10,0,10,1,0,1,1,0.909090909,0.924242424,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/gettingStarted/filedialog,0,180,0.166666667,1,564,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/tutorials/gettingStarted/parts/part5/filedialog,0,164,0.18292683,1,562,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/twitter,0,9,0.111111121,1,55,1,1,0,1,1,0,1,1,3,0,3,1,0,1,0,5.973134925,5.973134925,0.000343997,0.000343997,0,0,0,0,6,0,6,1,0,1,1,0.954545455,0.954545455,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
qtquick1.examples/declarative/ui-components/dialcontrol,0,9,0.111111121,5,74,0,2,0,2,0.8,1,1,1,6,0,6,1,0,5,3,0.350140056,0.622408041,0.000447628,0.000342626,0,0,0,0,9,0,9,1,0,1,1,0.909090909,0.909090909,qtquick1,0,0,0,0,0,0,0,0,0,0,0,0,0
